epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,53.6302,1.27041,0.67632,1.08169,0.85933,0.87563,0.89708,0.54575,1.33606,0.63532,1.07221,0.000848969,0.000848969,0.000848969
43,54.8602,1.26383,0.66752,1.07813,0.87088,0.875,0.88552,0.5226,1.35642,0.62064,1.09878,0.000834822,0.000834822,0.000834822
44,56.1904,1.25831,0.66145,1.07341,0.88422,0.88224,0.90449,0.5262,1.32165,0.61873,1.09414,0.000820675,0.000820675,0.000820675
45,57.47,1.24359,0.66537,1.07808,0.85422,0.89167,0.8948,0.52102,1.28901,0.60569,1.08364,0.000806528,0.000806528,0.000806528
46,58.6512,1.28568,0.67617,1.09562,0.88786,0.92051,0.93057,0.5352,1.26983,0.59202,1.07128,0.00079238,0.00079238,0.00079238
47,59.8454,1.24894,0.66956,1.0907,0.91478,0.91667,0.95062,0.52872,1.35245,0.58917,1.09148,0.000778233,0.000778233,0.000778233
48,61.1425,1.25007,0.64236,1.06435,0.87907,0.95,0.92934,0.54735,1.28736,0.59511,1.08332,0.000764086,0.000764086,0.000764086
49,62.3325,1.28342,0.66516,1.08584,0.85279,0.9342,0.89398,0.55054,1.28794,0.5817,1.08861,0.000749939,0.000749939,0.000749939
50,63.6901,1.25797,0.63694,1.08827,0.89965,0.93333,0.92667,0.54834,1.29377,0.58677,1.07748,0.000735792,0.000735792,0.000735792
51,65.0804,1.26462,0.65747,1.09018,0.9116,0.95,0.93225,0.53801,1.29768,0.58341,1.07259,0.000721645,0.000721645,0.000721645
52,66.4201,1.31269,0.6633,1.12721,0.9136,0.94533,0.93568,0.54174,1.30562,0.59135,1.08172,0.000707498,0.000707498,0.000707498
53,67.6723,1.24412,0.64076,1.06603,0.87326,0.91667,0.89258,0.54236,1.32282,0.59341,1.07956,0.000693351,0.000693351,0.000693351
54,68.8907,1.24181,0.64593,1.06734,0.89057,0.89516,0.89626,0.54539,1.32374,0.57316,1.07024,0.000679204,0.000679204,0.000679204
55,70.073,1.21631,0.65025,1.06118,0.87431,0.91264,0.88441,0.53891,1.27054,0.57256,1.07775,0.000665057,0.000665057,0.000665057
56,71.2868,1.23203,0.62617,1.05147,0.89196,0.95833,0.9284,0.53324,1.29297,0.55619,1.09212,0.000650909,0.000650909,0.000650909
57,72.4736,1.21011,0.62343,1.07473,0.90154,0.96667,0.95384,0.54143,1.28583,0.56776,1.09577,0.000636762,0.000636762,0.000636762
58,73.7085,1.22226,0.6076,1.07289,0.89035,0.93333,0.92825,0.56571,1.26805,0.55712,1.09071,0.000622615,0.000622615,0.000622615
59,75.0869,1.25951,0.61796,1.08691,0.86804,0.93333,0.91631,0.56399,1.2539,0.5542,1.08204,0.000608468,0.000608468,0.000608468
60,76.3372,1.22307,0.61966,1.07842,0.88231,0.9426,0.93617,0.57087,1.24874,0.54362,1.07743,0.000594321,0.000594321,0.000594321
