epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.48995,1.60382,3.43262,1.5191,0,0,0,0,0,25.8438,0,8.574e-05,8.574e-05,8.574e-05
2,3.85395,1.53428,3.21579,1.35782,0,0,0,0,0,26.3125,0,0.000183931,0.000183931,0.000183931
3,5.18195,1.71039,2.36642,1.37361,0,0,0,0,0,30.2188,0,0.000280141,0.000280141,0.000280141
4,6.44395,1.66296,1.93765,1.30485,0,0,0,0,0,29.4688,0,0.000374371,0.000374371,0.000374371
5,7.76694,1.60652,1.51161,1.3002,0,0,0,0,0,29.1406,0,0.00046662,0.00046662,0.00046662
6,9.02995,1.56421,1.25698,1.27472,0,0,0,0,0,42.3438,0,0.000556888,0.000556888,0.000556888
7,10.4299,1.59166,1.20918,1.28954,0,0,0,0,0,36.0625,0,0.000645176,0.000645176,0.000645176
8,11.6636,1.58745,1.14973,1.26231,0,0,0,0,0,33.6562,0,0.000731484,0.000731484,0.000731484
9,12.9242,1.54797,1.08614,1.235,0,0,0,0,0,57.7188,0,0.00081581,0.00081581,0.00081581
10,14.0544,1.51122,1.03592,1.21332,0,0,0,0,0,81,0,0.000898157,0.000898157,0.000898157
11,15.1911,1.51738,1.07626,1.24219,0,0,0,0,0,93,0,0.000978522,0.000978522,0.000978522
12,16.3683,1.50049,1.02445,1.21586,0,0,0,0,0,69.5625,0,0.00105691,0.00105691,0.00105691
13,17.5256,1.5116,0.95647,1.19637,0,0,0,0,0,61.4062,0,0.00113331,0.00113331,0.00113331
14,18.7037,1.48832,0.96631,1.18466,0,0,0,0,0,54.4688,0,0.00120774,0.00120774,0.00120774
15,19.8912,1.55368,0.97824,1.21622,0,0,0,0,0,58.25,0,0.00123094,0.00123094,0.00123094
16,21.0465,1.51891,0.95063,1.20083,0,0,0,0,0,78.75,0,0.00121679,0.00121679,0.00121679
17,22.2385,1.49705,0.9009,1.18641,0,0,0,0,0,79.875,0,0.00120265,0.00120265,0.00120265
18,23.4634,1.46958,0.91526,1.21609,0,0,0,0,0,65.3125,0,0.0011885,0.0011885,0.0011885
19,24.6972,1.46829,0.92842,1.19906,0,0,0,0,0,77.4375,0,0.00117435,0.00117435,0.00117435
20,25.9536,1.44894,0.89245,1.21225,0,0,0,0,0,134.375,0,0.00116021,0.00116021,0.00116021
21,27.2123,1.52669,0.93355,1.23939,0,0,0,0,0,157.875,0,0.00114606,0.00114606,0.00114606
22,28.3489,1.48203,0.88025,1.182,0,0,0,0,0,156.875,0,0.00113191,0.00113191,0.00113191
23,29.5068,1.49348,0.86185,1.20517,0,0,0,0,0,172.875,0,0.00111776,0.00111776,0.00111776
24,30.6244,1.44151,0.84247,1.17317,0,0,0,0,0,183.875,0,0.00110362,0.00110362,0.00110362
25,31.7664,1.40015,0.82274,1.13795,0,0,0,0,0,214.875,0,0.00108947,0.00108947,0.00108947
26,32.9709,1.42594,0.82255,1.14987,0,0,0,0,0,238.375,0,0.00107532,0.00107532,0.00107532
27,34.2408,1.39355,0.82764,1.15856,0,0,0,0,0,277.25,0,0.00106118,0.00106118,0.00106118
28,35.4122,1.4162,0.81297,1.16271,0,0,0,0,0,359.75,0,0.00104703,0.00104703,0.00104703
29,36.6011,1.35724,0.79591,1.12978,0,0,0,0,0,360,0,0.00103288,0.00103288,0.00103288
30,37.7954,1.40623,0.80737,1.16641,0,0,0,0,0,327.75,0,0.00101873,0.00101873,0.00101873
31,38.9808,1.42543,0.78791,1.15435,0,0,0,0,0,307,0,0.00100459,0.00100459,0.00100459
32,40.1704,1.45818,0.78052,1.16284,0,0,0,0,0,215.875,0,0.00099044,0.00099044,0.00099044
33,41.2886,1.40451,0.77998,1.17634,0,0,0,0,0,229.125,0,0.000976293,0.000976293,0.000976293
34,42.434,1.4664,0.78578,1.16626,0,0,0,0,0,267,0,0.000962146,0.000962146,0.000962146
35,43.6043,1.38865,0.76725,1.14092,0,0,0,0,0,343,0,0.000947999,0.000947999,0.000947999
36,44.75,1.39012,0.76369,1.13093,0,0,0,0,0,299,0,0.000933851,0.000933851,0.000933851
37,45.9266,1.40463,0.77185,1.1464,0,0,0,0,0,297.25,0,0.000919704,0.000919704,0.000919704
38,47.1303,1.37316,0.75062,1.15543,0,0,0,0,0,354,0,0.000905557,0.000905557,0.000905557
39,48.4476,1.40703,0.7353,1.16027,0,0,0,0,0,361.25,0,0.00089141,0.00089141,0.00089141
40,49.6162,1.36388,0.7214,1.13891,0,0,0,0,0,318,0,0.000877263,0.000877263,0.000877263
41,50.7806,1.36602,0.70837,1.12242,0,0,0,0,0,317,0,0.000863116,0.000863116,0.000863116
42,52.0307,1.34558,0.71042,1.12944,0,0,0,0,0,356,0,0.000848969,0.000848969,0.000848969
43,53.1633,1.35417,0.70305,1.13424,0,0,0,0,0,393.25,0,0.000834822,0.000834822,0.000834822
44,54.3757,1.34566,0.69819,1.11207,0,0,0,0,0,357.25,0,0.000820675,0.000820675,0.000820675
45,55.5601,1.37501,0.7158,1.13758,0,0,0,0,0,342.75,0,0.000806528,0.000806528,0.000806528
46,56.8033,1.37464,0.71582,1.15816,0,0,0,0,0,329.5,0,0.00079238,0.00079238,0.00079238
47,58.004,1.38857,0.71258,1.15376,0,0,0,0,0,381,0,0.000778233,0.000778233,0.000778233
48,59.277,1.34582,0.671,1.09862,0,0,0,0,0,401,0,0.000764086,0.000764086,0.000764086
49,60.4616,1.41569,0.69598,1.14493,0,0,0,0,0,369.75,0,0.000749939,0.000749939,0.000749939
50,61.6871,1.33951,0.67324,1.12941,0,0,0,0,0,316.75,0,0.000735792,0.000735792,0.000735792
51,62.9851,1.40218,0.68899,1.1606,0,0,0,0,0,337.25,0,0.000721645,0.000721645,0.000721645
52,64.1525,1.36324,0.68187,1.16442,0,0,0,0,0,351.5,0,0.000707498,0.000707498,0.000707498
53,65.338,1.32458,0.66667,1.09981,0,0,0,0,0,357.75,0,0.000693351,0.000693351,0.000693351
54,66.5024,1.31768,0.6631,1.1074,0,0,0,0,0,369,0,0.000679204,0.000679204,0.000679204
55,67.697,1.32496,0.65744,1.10044,0,0,0,0,0,330,0,0.000665057,0.000665057,0.000665057
56,68.9048,1.29709,0.66156,1.08111,0,0,0,0,0,368.75,0,0.000650909,0.000650909,0.000650909
57,70.0398,1.31347,0.66136,1.12758,0,0,0,0,0,380.5,0,0.000636762,0.000636762,0.000636762
58,71.215,1.27945,0.63902,1.10345,0,0,0,0,0,366.75,0,0.000622615,0.000622615,0.000622615
59,72.4719,1.34154,0.64474,1.12662,0,0,0,0,0,359,0,0.000608468,0.000608468,0.000608468
60,73.7659,1.28801,0.63915,1.10871,0,0,0,0,0,367.5,0,0.000594321,0.000594321,0.000594321
61,75.0396,1.31297,0.65279,1.13955,0,0,0,0,0,377.5,0,0.000580174,0.000580174,0.000580174
62,76.2834,1.32436,0.64279,1.13003,0,0,0,0,0,374.5,0,0.000566027,0.000566027,0.000566027
63,77.5446,1.30133,0.65669,1.12863,0,0,0,0,0,400,0,0.00055188,0.00055188,0.00055188
64,78.7089,1.32735,0.62811,1.09531,0,0,0,0,0,407.5,0,0.000537733,0.000537733,0.000537733
65,79.8839,1.3035,0.62312,1.09837,0,0,0,0,0,406.75,0,0.000523586,0.000523586,0.000523586
66,81.0052,1.25425,0.61126,1.09964,0,0,0,0,0,375,0,0.000509438,0.000509438,0.000509438
67,82.2681,1.29344,0.63538,1.111,0,0,0,0,0,363.75,0,0.000495291,0.000495291,0.000495291
68,83.4728,1.26817,0.61108,1.09044,0,0,0,0,0,394,0,0.000481144,0.000481144,0.000481144
69,84.6809,1.28802,0.61483,1.09248,0,0,0,0,0,395.75,0,0.000466997,0.000466997,0.000466997
70,85.9606,1.24845,0.61165,1.10116,0,0,0,0,0,380.5,0,0.00045285,0.00045285,0.00045285
71,87.2438,1.24784,0.60823,1.08668,0,0,0,0,0,382,0,0.000438703,0.000438703,0.000438703
72,88.4087,1.27196,0.62137,1.10342,0,0,0,0,0,366.25,0,0.000424556,0.000424556,0.000424556
73,89.6076,1.28326,0.60422,1.09633,0,0,0,0,0,355.25,0,0.000410409,0.000410409,0.000410409
74,90.8779,1.28177,0.6166,1.0873,0,0,0,0,0,363.5,0,0.000396262,0.000396262,0.000396262
75,92.0357,1.27586,0.61248,1.11146,0,0,0,0,0,401.75,0,0.000382115,0.000382115,0.000382115
76,93.2147,1.26386,0.58877,1.08268,0,0,0,0,0,409.25,0,0.000367967,0.000367967,0.000367967
77,94.3607,1.25333,0.59817,1.08078,0,0,0,0,0,399.75,0,0.00035382,0.00035382,0.00035382
78,95.5052,1.24937,0.60266,1.08698,0,0,0,0,0,386.5,0,0.000339673,0.000339673,0.000339673
79,96.6269,1.2414,0.59594,1.07673,0,0,0,0,0,414,0,0.000325526,0.000325526,0.000325526
80,97.9135,1.28497,0.59973,1.13688,0,0,0,0,0,433.75,0,0.000311379,0.000311379,0.000311379
81,99.1584,1.23644,0.57021,1.08577,0,0,0,0,0,434,0,0.000297232,0.000297232,0.000297232
82,100.413,1.23629,0.59034,1.09355,0,0,0,0,0,428,0,0.000283085,0.000283085,0.000283085
83,101.681,1.22777,0.57477,1.0706,0,0,0,0,0,418.5,0,0.000268938,0.000268938,0.000268938
84,102.884,1.22249,0.57251,1.07767,0,0,0,0,0,434.25,0,0.000254791,0.000254791,0.000254791
85,104.036,1.26093,0.58059,1.10635,0,0,0,0,0,442.5,0,0.000240644,0.000240644,0.000240644
86,105.289,1.19379,0.56437,1.07269,0,0,0,0,0,448,0,0.000226497,0.000226497,0.000226497
87,106.525,1.20852,0.5752,1.0748,0,0,0,0,0,437.25,0,0.000212349,0.000212349,0.000212349
88,107.668,1.222,0.57856,1.07991,0,0,0,0,0,428.25,0,0.000198202,0.000198202,0.000198202
89,108.832,1.2748,0.58882,1.11751,0,0,0,0,0,429.5,0,0.000184055,0.000184055,0.000184055
90,110.037,1.23401,0.56821,1.0836,0,0,0,0,0,441,0,0.000169908,0.000169908,0.000169908
91,116.176,1.19239,0.61105,1.07831,0,0,0,0,0,437.75,0,0.000155761,0.000155761,0.000155761
92,117.417,1.22851,0.61019,1.11133,0,0,0,0,0,409.75,0,0.000141614,0.000141614,0.000141614
93,118.615,1.20338,0.59184,1.07522,0,0,0,0,0,401.75,0,0.000127467,0.000127467,0.000127467
94,119.936,1.18449,0.56996,1.07073,0,0,0,0,0,408.75,0,0.00011332,0.00011332,0.00011332
95,121.129,1.18583,0.57176,1.09059,0,0,0,0,0,440.25,0,9.91726e-05,9.91726e-05,9.91726e-05
96,122.271,1.17583,0.55507,1.07509,0,0,0,0,0,462.5,0,8.50255e-05,8.50255e-05,8.50255e-05
97,123.447,1.19386,0.57018,1.0886,0,0,0,0,0,466.5,0,7.08784e-05,7.08784e-05,7.08784e-05
98,124.59,1.20571,0.56607,1.07474,0,0,0,0,0,461,0,5.67313e-05,5.67313e-05,5.67313e-05
99,125.747,1.18697,0.56458,1.08414,0,0,0,0,0,453,0,4.25842e-05,4.25842e-05,4.25842e-05
100,126.94,1.15461,0.56385,1.07174,0,0,0,0,0,448.25,0,2.84371e-05,2.84371e-05,2.84371e-05
